id,owner,timestamp,type,version,bench reference,crate weight timestamp,crop name,weight in kilograms
70595,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,hhh,2023-05-18 14:19:51+00:00,Crop not found,-0.41905879974365234
70596,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-18 14:21:15+00:00,Crop not found,-0.5035624504089355
70597,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,Yyyy,2023-05-18 14:22:38+00:00,Crop not found,-0.47550487518310547
70598,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,Ttttt,2023-05-18 14:35:57+00:00,Crop not found,-0.5024452209472656
70599,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-18 14:37:23+00:00,Crop not found,-0.4073152542114258
70600,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,Eeeee,2023-05-18 14:38:53+00:00,Crop not found,-0.3391532897949219
70601,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,Yyyy,2023-05-18 15:20:12+00:00,Crop not found,-0.5240859985351562
70602,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,Yyyyy,2023-05-18 15:21:36+00:00,Crop not found,-0.3856983184814453
70603,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,aaaaa,2023-05-18 16:07:48+00:00,Crop not found,-0.4766216278076172
70604,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,rrrrr,2023-05-18 16:09:14+00:00,Crop not found,-0.8723115921020508
70605,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-18 16:10:08+00:00,Crop not found,-0.4348630905151367
70606,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,bbbbb,2023-05-18 16:11:27+00:00,Crop not found,-0.588742733001709
70607,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-18 16:12:06+00:00,Crop not found,-0.35740089416503906
70608,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-18 18:13:55+00:00,Crop not found,-0.6168403625488281
70609,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,one,2023-05-18 18:22:00+00:00,Crop not found,-0.21703577041625977
70610,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,two,2023-05-18 18:22:00+00:00,Crop not found,-0.21703577041625977
70611,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,three,2023-05-18 18:23:22+00:00,Crop not found,-0.32436275482177734
70612,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,two,2023-05-18 18:25:09+00:00,Crop not found,-0.4107537269592285
70613,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,four,2023-05-18 18:26:33+00:00,Crop not found,-0.498138427734375
70614,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,one,2023-05-18 18:28:03+00:00,Crop not found,-0.3754873275756836
70615,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-19 10:47:20+00:00,Crop not found,-0.057074546813964844
70616,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,one,2023-05-19 11:03:01+00:00,Crop not found,-0.22129042943318686
70617,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,two,2023-05-19 11:03:01+00:00,Crop not found,-0.22129042943318686
70618,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,three,2023-05-19 11:03:01+00:00,Crop not found,-0.22129042943318686
70619,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-19 14:44:02+00:00,Crop not found,-0.05843210220336914
70620,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2023-05-19 14:44:37+00:00,Crop not found,0.011868953704833984
